Patient,Region,Pointing_Game,Saliency_Coverage,Saliency_IoU,Weighted_Dice
BraTS-GLI-01666-000,Whole Tumor,1.0,0.8387,0.0002,0.0247
BraTS-GLI-01666-000,Tumor Core,1.0,0.6543,0.0003,0.0385
BraTS-GLI-01666-000,Enhancing Tumor,N/A,N/A,N/A,N/A
BraTS-GLI-01518-000,Whole Tumor,1.0,0.6071,0.0001,0.0313
BraTS-GLI-01518-000,Tumor Core,1.0,0.337,0.0003,0.0334
BraTS-GLI-01518-000,Enhancing Tumor,1.0,0.0061,0.0092,0.0099
BraTS-GLI-01497-000,Whole Tumor,1.0,0.6004,0.0,0.0127
BraTS-GLI-01497-000,Tumor Core,1.0,0.4109,0.0001,0.0122
BraTS-GLI-01497-000,Enhancing Tumor,1.0,0.0464,0.0008,0.0161
BraTS-GLI-01397-000,Whole Tumor,1.0,0.7033,0.0059,0.099
BraTS-GLI-01397-000,Tumor Core,1.0,0.648,0.0038,0.1211
BraTS-GLI-01397-000,Enhancing Tumor,1.0,0.5927,0.0133,0.1725
BraTS-GLI-00291-000,Whole Tumor,1.0,0.5801,0.0037,0.0495
BraTS-GLI-00291-000,Tumor Core,1.0,0.4407,0.0117,0.1242
BraTS-GLI-00291-000,Enhancing Tumor,1.0,0.4396,0.0109,0.1234
